Nom productor,Núm. acreditació,Persona jurídica,Persona física,NIF,Adreça,Codi postal,Municipi,Comarca,Productes,Grups Productes,Venda directa,Venda circuit curt,Telèfon,Correu electrònic,Marca Comercial
SARGAIRE SL,VP/P/0009/2013,X,,B25343609,Pda TORRE SARGAIRE SN,25100,ALMACELLES,SEGRIÀ,"Carn, embotits i derivats carnis de boví, BLAT DE MORO, ORDI, GIRA-SOL","CEREALS D'ESTIU, CEREALS, OLEAGINOSES",Venda directa,Venda circuit curt,639637071,jaumecace@gmail.com,L'HORT D'EN RIPOLL
SAT APROC,VP/AP/0026/2013,X,,V25668120,C/ Pont 53,25600,BALAGUER,LA NOGUERA,"Carn, embotits i derivats carnis de xai",,,Venda circuit curt,973450496,francescbatalla@hotmail.com,
SAT BEPA,VP/P/1949/2015,X,,V25680570,C/ LES ERES 19 1,25183,SERÒS,SEGRIÀ,"OLIVES, PRESSECS, NECTARINES, PERES, CIRERES, HORTA","FRUITA DOLÇA, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,626493104,satbepa@olimpfruit.com,
SAT CAL PAUET,VP/P/0636/2013,X,,V58388505,C CAL PAUET,8619,ESPUNYOLA,BERGUEDÀ,"Carn, embotits i derivats carnis de xai, Farines, pastes i cereals, BLAT TOU, ESPELTA, BLAT DUR, ORDI, SÈGOL, FAJOL, TÒFONA, PÈSOLS","ALTRES PRODUCTES, CEREALS D'ESTIU, CEREALS, LLEGUMINOSES, OLEAGINOSES, PROTEAGINOSES",Venda directa,Venda circuit curt,696532675,dbover@gmail.com,
SAT GONFAUS,VP/P/0638/2013,X,,V60778388,C Cercs 2,8600,BERGA,BERGUEDÀ,"Carn, embotits i derivats carnis de xai, Carn, embotits i derivats carnis de boví, ORDI, PATATA, NOUS, HORTA","CEREALS, FRUITS DE CLOSCA, HORTÍCOLES",Venda directa,,649194230,s.a.t.gonfaus@gmail.com,RIUS
SAT JAUMET D'ASTELL,VP/P/2082/2016,X,,F25569120,C CASA JAUMET,25515,TORRE DE CABDELLA,PALLARS JUSSÀ,"Carn, embotits i derivats carnis de boví, RAÏM VI",VINYA,,Venda circuit curt,973663030,tjordanafarre@gmail.com,RIUS D'OR
SAT LES TORRES CAT 1309 LTDA,VP/P/2702/2017,X,,F60711496,Mas les Torres 0,8271,ARTÉS,BAGES,"Carn, embotits i derivats carnis de boví, BLAT TOU, ORDI",CEREALS,,Venda circuit curt,649993866,roca.lestorres@gmail.com,LLACUNATUR
SAT LIMITADA APICOLA EL PERELLO,VP/AP/0155/2019,X,,F43498922,Av Catalunya 23,43519,PERELLÓ,BAIX EBRE,Mel,,Venda directa,Venda circuit curt,606995020,melmuria@melmuria.com,CANEMAR
SAT LLOPIS 1518 CAT,VP/AP/0039/2013,X,,V43926427,C/ Sant Andreu 4,43781,FATARELLA,TERRA ALTA,"Vins, caves i vinagres, Olis, Conserves vegetals, sucs, melmelades, fruits secs torrats",,Venda directa,Venda circuit curt,620513033,sagalobal@msn.com,CÀRNICS DEL ESTABLE 4 VENTS
"SAT MAS LLUET, 905 CAT",VP/AP/0146/2019,X,,F58437450,C/ Cases Noves de la Riera 1,8732,CASTELLVÍ DE LA MARCA,ALT PENEDÈS,"Vins, caves i vinagres, Olis",,Venda directa,Venda circuit curt,609873365,cavasbolet@cavasbolet.com,
SAT N 5091 ABELLAIRES EMPORDANESOS 12 CAT,VP/P/0562/2013,X,,F17072851,Carre Sant Sebastia 5,17780,GARRIGUELLA,ALT EMPORDÀ,Mel,,Venda directa,Venda circuit curt,972530193,info@abellaires.com,
SAT N 5188,VP/P/0428/2013,X,,F08903429,C/ De Sant Jaume 11,8310,ARGENTONA,MARESME,"RAÏM, HORTA","HORTÍCOLES, VINYA",Venda directa,Venda circuit curt,937970463,danglamagat@gmail.com,
"SAT N 759, GRANJA EL PRAT",VP/P/1759/2015,X,,F08810913,Finca Can Ciurans 0,8480,AMETLLA DEL VALLÈS,VALLÈS ORIENTAL,"Llet de vaca, Formatges i altres derivats lactis de llet de vaca, ORDI, TRITICALE, OLIVES","CEREALS, OLIVERAR",Venda directa,Venda circuit curt,937445049,granjaelprat@hotmail.com,
SAT Nº 1596 NUFRI RESP.LIMIT,VP/AP/0042/2013,X,,F25011461,CTRA DE PALAU KM. 1,25230,CORBINS,PLA D'URGELL,,,Venda directa,,973600229,iargiles@nufri.com,
SAT Nº1569 AROP CAT LTDA.,VP/AP/0027/2013,X,,V25707910,C/ Del Pont 53,25600,BALAGUER,LA NOGUERA,"Carn, embotits i derivats carnis de xai",,,Venda circuit curt,617412883,otilia@ecofandos.com,
SAT NUM 1041 CAT TAURE,VP/P/0632/2013,X,,V25203621,C CASA MONEGAL,25286,OLIUS,SOLSONÈS,"Carn, embotits i derivats carnis de boví",,,Venda circuit curt,636491377,s_muntada@hotmail.com,
"SAT NUM 1255 ARILFRUT, LTDA",VP/AP/0046/2013,X,,V25307554,"Ptda MOREDILLA. CARRETERA NACIONAL LL-11, P,K 3.500 17",25191,LLEIDA,SEGRIÀ,"NECTARINES, PRUNES, CODONY, PRESSECS, POMES, PERES, ALBERCOCS",FRUITA DOLÇA,,Venda circuit curt,616831401,manel@arilfrut.com,
SAT PASTURES DEL MONTSENY,VP/P/1882/2015,X,,V64856214,Les Muntades 0,8460,MONTSENY,VALLÈS ORIENTAL,"Formatges i altres derivats lactis de llet de cabra, CIVADA, PATATA","CEREALS, HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,654409935,info@formatgeriadelmontseny.com,
"SAT PLA, D'EN ROIG",VP/P/0429/2013,X,,F17154592,Carre Mas Borinot 54,17300,BLANES,LA SELVA,"PATATA, ENCIAM, CEBES, CALÇOTS, PORROS I ALLS, TOMÀQUET",HORTÍCOLES,Venda directa,,696827391,satpladenroig@hotmail.com,
SAT PUIGCERCOS,VP/P/0637/2013,X,,V58655267,CASA PUIGCERCOS,8619,BORREDÀ,BERGUEDÀ,"Carn, embotits i derivats carnis de boví",,,Venda circuit curt,639756417,agrirampuigcercos@gmail.com,4080AO
SAT VARSELLA N 1421 CAT,VP/P/0439/2013,X,,F43609353,Zona Dissem. de Bitem.horta Baixa 20,43510,TORTOSA,BAIX EBRE,"TARONGES, LLIMONES, MANDARINES",CÍTRICS,Venda directa,Venda circuit curt,600429274,satvarsella@hotmail.com,
SAT VV 229 CAT,VP/AP/0158/2019,X,,V25013517,Cami de la Plana s/n,25264,VILANOVA DE BELLPUIG,PLA D'URGELL,"Conserves vegetals, sucs, melmelades, fruits secs torrats, TOMÀQUET",HORTÍCOLES,Venda directa,Venda circuit curt,973324125,contabilidad@calvalls.com,
"SAUMELL CALAF, JOSEP",VP/P/0231/2013,,X,,,43812,RODONYÀ,ALT CAMP,"Vins, caves i vinagres, BLAT TOU, OLIVES, RAÏM VI, ALTRES FRUITES","CEREALS, FRUITA DOLÇA, OLIVERAR, VINYA",Venda directa,Venda circuit curt,,,
"SAUMELL GUIXA, ALBERT",VP/P/2818/2018,,X,,,8787,CARME,ANOIA,"Olis, OLIVES, AMETLLES, CIRERES, HORTA","FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR",Venda directa,,,,
"SAUMELL VALLES, Mª ANGELS",VP/P/0142/2013,,X,,,8739,SUBIRATS,ALT PENEDÈS,"Conserves vegetals, sucs, melmelades, fruits secs torrats, RAÏM, ALTRES FRUITES","FRUITA DOLÇA, NO ADMISSIBLES, VINYA",Venda directa,,,,
"SAURA SUBIRANA, JOSEP MANEL",VP/P/1212/2013,,X,,,25520,PONT DE SUERT,ALTA RIBAGORÇA,"Carn, embotits i derivats carnis de boví",,Venda directa,Venda circuit curt,,,
"SAURA, SILVIO",VP/P/3271/2019,,X,,,8490,TORDERA,MARESME,ALBERGÍNIA,HORTÍCOLES,Venda directa,Venda circuit curt,,,
"SAURET FONTDEVILA, MARIA DE LA ESPERANZA",VP/P/0901/2013,,X,,,25600,BALAGUER,LA NOGUERA,"OLIVERES, PRESSEGUERS, NECTARINS, ALBERCOQUERS, PERERES, POMERES, PRUNERES, ALTRES FRUITERS","FRUITA DOLÇA, OLIVERAR",Venda directa,,,,
"SAURET VILA, RAMON",VP/P/1705/2014,,X,,,25137,CORBINS,SEGRIÀ,"PRESSECS, NECTARINES, PERES","FRUITA DOLÇA, NO ADMISSIBLES",Venda directa,,,,LA SORT AGRICULTURA ECOLÒGICA
"SAURI ABELLA, JOSEP",VP/P/0666/2013,,X,,,8350,ARENYS DE MAR,MARESME,"Carn, embotits i derivats carnis de xai, Carn, embotits i derivats carnis de cabrum, CIVADA",CEREALS,Venda directa,Venda circuit curt,,,
"SAURI PALLI, NARCIS",VP/P/3079/2019,,X,,,17251,CALONGE,BAIX EMPORDÀ,"PATATA, OLIVES, CEBES, CALÇOTS, PORROS I ALLS, HORTA, TOMÀQUET, MADUIXA, MONGETA","HORTÍCOLES, LLEGUMINOSES, OLIVERAR",Venda directa,,,,L'ARGATA
SCCL AGRARIA DE OMELLS DE NAGAIA,VP/P/1577/2014,X,,F25013681,"CARRE MURALLA, S/N",25268,CASTELLDANS,URGELL,"Olis, OLIVERES",OLIVERAR,,Venda circuit curt,608095566,,OMATISSIMS1
SCCL DEL CAMP LA FRATERNAL,VP/AP/0115/2018,X,,F25003393,Plaça Catalunya 1,25155,ALBAGÉS,LES GARRIGUES,Olis,,Venda directa,Venda circuit curt,973121126,coopalbages@hotmail.com,ANTHOPHILA
"SCHINDLER, HANS DETLEF",VP/P/0099/2013,,X,,,43764,CATLLAR,TARRAGONÈS,"Olis, OLIVES, GARROFES, ENCIAM, COL I COLIFLOR, TOMÀQUET, AVELLANES","FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",Venda directa,Venda circuit curt,,,
SDAD.COOP. SANT DOMENEC,VP/AP/0128/2019,X,,F25380155,carretera albesa s/n 0,25134,PORTELLA,SEGRIÀ,"PRUNES, PRESSECS, PERES, NECTARINES, POMES, ALBERCOCS",FRUITA DOLÇA,,Venda circuit curt,678524765,info@santdomenec.com,
"SEDANO MELLADO, ANTONIA",VP/P/0650/2013,,X,,,8820,PRAT DE LLOBREGAT,BAIX LLOBREGAT,"Olis, OLIVES","NO ADMISSIBLES, OLIVERAR",Venda directa,,,,
"SEDO CABRE, JOSEP RAMON",VP/P/2398/2016,,X,,,43738,BELLMUNT DEL PRIORAT,PRIORAT,"Vins, caves i vinagres, Olis, OLIVES, RAÏM VI, AMETLLES, PRESSECS, HORTA","FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR, VINYA",Venda directa,,,,
"SEDO GOLAY, JORGE",VP/P/0664/2013,,X,,,17753,ESPOLLA,ALT EMPORDÀ,"Carn, embotits i derivats carnis de boví",,Venda directa,,,,ECOTRAMEC
SEGALA-PIRO SL,VP/P/3056/2018,X,,B25034042,C/ PARE PACÍFIC 3,25264,VILANOVA DE BELLPUIG,PLA D'URGELL,"Farines, MILL, COL I COLIFLOR, ESPINAC, AVELLANES","ALTRES PRODUCTES, CEREALS, FRUITS DE CLOSCA, HORTÍCOLES",Venda directa,Venda circuit curt,629731932,xavipiro@hotmail.es,
"SEGUES BORRAS, JOEL",VP/P/2098/2016,,X,,,25126,ALMENAR,SEGRIÀ,"OLIVES, HORTA","HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,,,MAS CAL TEULATS
"SEGUES SIMARRO, SERGIO",VP/P/2840/2018,,X,,,25005,LLEIDA,SEGRIÀ,"OLIVES, AMETLLES, SAFRÀ, NABIUS","ALTRES PRODUCTES, FRUITA DOLÇA, FRUITS DE CLOSCA, OLIVERAR",Venda directa,,,,
"SEGURA ARESTE, VICTOR XAVIER",VP/P/2071/2016,,X,,,25179,MAIALS,SEGRIÀ,"Olis, OLIVES, AMETLLES","FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,HORTA CAL 6 DITS
"SELEXAI, SL",VP/AP/0016/2013,X,,B25708694,"CASA PLA D ABELLA, S/N",25286,NAVÈS,SOLSONÈS,"Carn, embotits i derivats carnis de xai",,Venda directa,Venda circuit curt,679443661,annavila87@hotmail.com,VEDELLA DEL PUIGSAGORDI
"SELLART PERREÑO, ANA",VP/P/1735/2014,,X,,,25736,VILANOVA DE MEIÀ,LA NOGUERA,"Conserves vegetals, sucs, melmelades, fruits secs torrats, OLIVES","NO ADMISSIBLES, OLIVERAR",Venda directa,,,,HORTA TARRÉS
"SELLS TARRADELLAS, MARGARITA",VP/P/2463/2016,,X,,,8629,TORRELLES DE LLOBREGAT,BAIX LLOBREGAT,CIRERES,FRUITA DOLÇA,Venda directa,,,,LA BARRAQUETA AGROECOLÒGICA
"SELVA VITIVINI, SL",VP/P/0389/2013,X,,B17657883,Lloc MAS ESTELA,17489,SELVA DE MAR,ALT EMPORDÀ,"Vins, caves i vinagres, RAÏM VI",VINYA,Venda directa,,972126176,masestela@hotmail.com,
"SENDRA ANGLES, DAVID",VP/P/2414/2016,,X,,,43815,AIGUAMÚRCIA,ALT CAMP,"Vins, caves i vinagres, RAÏM","NO ADMISSIBLES, VINYA",Venda directa,Venda circuit curt,,,
"SENDRA ANGLES, OSCAR",VP/P/2413/2016,,X,,,43815,AIGUAMÚRCIA,ALT CAMP,"Vins, caves i vinagres, OLIVES, RAÏM, AMETLLES","FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR, VINYA",Venda directa,Venda circuit curt,,,
"SENDROS GONZALEZ, MARI CARME",VP/P/2760/2017,,X,,,25265,CASTELLNOU DE SEANA,PLA D'URGELL,"CEBA, CALÇOT, PORRO I ALL, CARABASSA, HORTA, PÈSOLS","HORTÍCOLES, PROTEAGINOSES",Venda directa,Venda circuit curt,,,
SEÑORIO DEL LIBANO SA,VP/P/1646/2014,X,,A08810400,C/ DIPUTACION 262,8007,BARCELONA,BARCELONÈS,"Vins, caves i vinagres, RAÏM",VINYA,Venda directa,Venda circuit curt,680785728,ignatiusotaduy@gmail.com,OLI COOPERATIVA DEL MOLAR MAS DE BAS
"SERA TARRAGONA, RAMONA",VP/P/3209/2019,,X,,,25737,CUBELLS,LA NOGUERA,"BLAT TOU, BLAT DE MORO, OLIVES, MONGETA , PÈSOLS, CIGRONS , LLENTIES , MONGETA","CEREALS D'ESTIU, CEREALS, LLEGUMINOSES, OLIVERAR, PROTEAGINOSES",Venda directa,,,,
"SERMA, CB",VP/P/1953/2015,X,,E43545722,C De Baix 16,43792,TORRE DE L'ESPANYOL,RIBERA D'EBRE,"Olis, OLIVES, AMETLLES","FRUITS DE CLOSCA, OLIVERAR",Venda directa,Venda circuit curt,696122939,serma.cb@gmail.com,
"SERNA MUÑOZ, PURIFICACION",VP/P/2701/2017,,X,,,8271,ARTÉS,BAGES,"Carn, embotits i derivats carnis de boví, BLAT TOU, ORDI",CEREALS,,Venda circuit curt,,,
"SERÓ BOBET, ALEJANDRO",VP/P/2906/2018,,X,,,25230,MOLLERUSSA,PLA D'URGELL,"OLIVES, AMETLLES","FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,CANTENYS SABA
"SERO MONNE, MIQUEL",VP/P/0125/2013,,X,,,25163,SOLERÀS,LES GARRIGUES,"Olis, OLIVES",OLIVERAR,Venda directa,Venda circuit curt,,,AVIAT
"SEROS FRUITS, SCCL",VP/AP/0132/2019,X,,F25008749,C/ De les Eres 2,25183,SERÒS,SEGRIÀ,"PRESSECS, PERES, ALBERCOCS, PRUNES, CIRERES, NECTARINES",FRUITA DOLÇA,Venda directa,Venda circuit curt,973780010,comercial@serosfruits.info,CAPRIOMEGA-LACTICS RASQUERA
"SERRA ABELLANET, ALBERTO",VP/P/1236/2013,,X,,,25721,BELLVER DE CERDANYA,CERDANYA,"Carn, embotits i derivats carnis de xai, BLAT TOU, CIVADA","CEREALS, NO ADMISSIBLES",Venda directa,,,,MAS EUSEBI
"SERRA BARCELÓ, ANTON",VP/P/2686/2017,,X,,,43719,BELLVEI,BAIX PENEDÉS,"OLIVES, RAÏM, GARROFES, CEBES, CALÇOTS, PORROS I ALLS","FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR, VINYA",Venda directa,,,,
"SERRA COMA, JUST",VP/P/0225/2013,,X,,,8279,CALDERS,BAGES,"Carn, embotits i derivats carnis de boví, ORDI, CIVADA, OLIVES","CEREALS, OLIVERAR",Venda directa,Venda circuit curt,,,PLANES BONES
"SERRA FABRE, JORDI",VP/P/0170/2013,,X,,,8540,CENTELLES,OSONA,HORTA,"ALTRES PRODUCTES, CEREALS D'ESTIU, HORTÍCOLES",Venda directa,,,,CAN REGLÀ
"SERRA GUTIERREZ, CARLES",VP/P/0854/2013,,X,,,17485,VILA-SACRA,ALT EMPORDÀ,"BLAT DE MORO, TOMÀQUET, MONGETA","CEREALS D'ESTIU, HORTÍCOLES, LLEGUMINOSES",,Venda circuit curt,,,L'HORTET VIU-ECOLOGICUS
"SERRA MONNE, SERGIO",VP/P/0814/2013,,X,,,43364,CAPAFONTS,BAIX CAMP,"Formatges i altres derivats lactis de llet de cabra, CIVADA, AVELLANES","CEREALS, FRUITS DE CLOSCA",Venda directa,Venda circuit curt,,,
"SERRA NOGUE, PEDRO",VP/P/3167/2019,,X,,,17861,OGASSA,RIPOLLÈS,"Carn, embotits i derivats carnis de cabrum, Carn, embotits i derivats carnis de xai",,,Venda circuit curt,,,LLUIS SAGRERA
"SERRA PONS, M. TERESA",VP/P/0067/2013,,X,,,43515,GALERA,MONTSIÀ,"OLIVES, ALBERCOCS, CIRERES, PRUNES, NOUS, GARROFES","FRUITA DOLÇA, FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,
"SERRA RIFA, CARLES",VP/P/1098/2013,,X,,,8519,MALLA,OSONA,"Carn, embotits i derivats carnis de xai, BLAT TOU, BLAT DE MORO","CEREALS D'ESTIU, CEREALS, NO ADMISSIBLES, OLEAGINOSES",Venda directa,Venda circuit curt,,,
"SERRA RIUS, RAMON",VP/P/1404/2014,,X,,,8182,SANT FELIU DE CODINES,VALLÈS ORIENTAL,"Olis, OLIVES, AMETLLES, ENCIAM, AVELLANES","FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,APICOLA SALA
"SERRADELL ADMETLLA, MARTA",VP/P/1341/2013,,X,,,25556,SUDANELL,ALTA RIBAGORÇA,"Carn, embotits i derivats carnis de xai",,Venda directa,Venda circuit curt,,,
"SERRANO GÓMEZ, JOSEP",VP/P/2861/2018,,X,,,8240,MANRESA,BAGES,"Conserves vegetals, sucs, melmelades, HORTA",HORTÍCOLES,Venda directa,Venda circuit curt,,,CA LA GRIDA
"SERRANO OSORIO, HECTOR",VP/P/1633/2014,,X,,,25199,LLEIDA,SEGRIÀ,HORTA,HORTÍCOLES,Venda directa,Venda circuit curt,,,
"SERRA-ROCAMORA, SL",VP/P/1523/2014,X,,B43598788,C/ Era 7,43792,TORRE DE L'ESPANYOL,RIBERA D'EBRE,"OLIVES, ALBERCOCS, CIRERES","FRUITA DOLÇA, NO ADMISSIBLES, OLIVERAR",,Venda circuit curt,646221858,montroma@tinet.org,
"SERRAT ARBAT, JAUME",VP/P/1831/2015,,X,,,17176,VALL D'EN BAS,GARROTXA,"Altres productes elaborats, BLAT DE MORO, HORTA","CEREALS D'ESTIU, HORTÍCOLES",Venda directa,Venda circuit curt,,,"FOT-LI, SENSE POR"
"SERRAT SANJAUME, JOAN",VP/P/1632/2014,,X,,,8358,ARENYS DE MUNT,MARESME,HORTA,HORTÍCOLES,Venda directa,,,,
"SERRET PIQUE, MONTSERRAT",VP/P/3089/2019,,X,,,25337,BELLCAIRE D'URGELL,LA NOGUERA,"BLAT TOU, BLAT DE MORO, ORDI, AMETLLES, PERES, PÈSOLS","CEREALS D'ESTIU, CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, NO ADMISSIBLES, PROTEAGINOSES",Venda directa,Venda circuit curt,,,MOLI DELS GUIAMETS
"SERVEIS AGRARIS MAIVA, SL",VP/P/0397/2013,X,,B43946292,Avgda ARAGÓ 19,43786,BATEA,TERRA ALTA,"Olis, OLIVES, RAÏM VI, AMETLLES","FRUITS DE CLOSCA, OLIVERAR, VINYA",Venda directa,,615243136,s.a.maiva@hotmail.com,AGROSALICHS
"SERVIAGRI MIRO, SL",VP/P/2767/2017,X,,B43830280,C/ VALL MAJOR 1,43786,BATEA,TERRA ALTA,"Olis, OLIVES, RAÏM VI, AMETLLES","FRUITS DE CLOSCA, OLIVERAR, VINYA",Venda directa,,652012161,info@serviagrimiro.com,
SES VERNES SL,VP/P/3034/2018,X,,B17331141,C FORNACA 19,17300,BLANES,LA SELVA,"Vins, caves i vinagres, RAÏM",VINYA,Venda directa,Venda circuit curt,972335758,climent@sesvernes.com,
"SETO LIÑAN, FERRAN",VP/P/1622/2014,,X,,,25410,ESPLUGA CALBA,LES GARRIGUES,"CIVADA, OLIVES, AMETLLES, PERES, PEBROT, CARBASSÓ, TOMÀQUET","CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR",,Venda circuit curt,,,
"SEUBA CODINA, MARIA TERESA",VP/P/2206/2016,,X,,,8619,MONTCLAR,BERGUEDÀ,"Ous de gallina, BLAT TOU, ORDI, MILL",CEREALS,Venda directa,,,,
"SIBARA, SA",VP/P/1961/2015,X,,A59061382,Av Sarria 163,8017,BARCELONA,BARCELONÈS,"BLAT TOU, ORDI, CIVADA, Pèsols, Olives, AMETLLA, Horta","ALTRES FRUITS SECS, ALTRES USOS, CEREALS, HORTÍCOLES, OLEAGINOSES, OLIVERAR, PROTEAGINOSES",Venda directa,Venda circuit curt,609836400,farmaciasingla@hotmail.com,
SIMBIONATUR SL,VP/P/0392/2013,X,,B25706771,C/ Manel Carrasco Formiguera 28,25001,LLEIDA,SEGRIÀ,"Altres productes elaborats, Olis, OLIVES, SAFRÀ","ALTRES PRODUCTES, OLIVERAR",Venda directa,,658961641,simbionatur@gmail.com,HORAT NOVA ECOLÒGICA
"SIMON FERNANDEZ, GLORIA MARIA",VP/P/0869/2013,,X,,,17121,CORÇÀ,BAIX EMPORDÀ,"Mel, ORDI, GIRA-SOL, OLIVES","ALTRES PRODUCTES, CEREALS, OLEAGINOSES, OLIVERAR",Venda directa,Venda circuit curt,,,MEL COMA DE L'ABELLER
"SIMON FONT, JAIME",VP/P/1615/2014,,X,,,8570,TORELLÓ,OSONA,Formatges i altres derivats lactis de llet de cabra,ALTRES USOS,Venda directa,,,,
"SISO PELEGRI, JAUME",VP/P/2283/2016,,X,,,25180,ALCARRÀS,SEGRIÀ,"OLIVES, AMETLLES, PRÈSSEC, NECTARINA, PERA, HORTA, CAQUI","FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR",Venda directa,,,,OVINS DEL GARRRAF
"SISTERO VERA, MARC",VP/P/1036/2013,,X,,,25717,VANSA I FÓRNOLS,ALT URGELL,"Carn, embotits i derivats carnis de boví, OLIVES",OLIVERAR,Venda directa,Venda circuit curt,,,
"SIURANETA ABELLA, RAMON",VP/P/1747/2015,,X,,,25197,LLEIDA,SEGRIÀ,PRODUCTES D'HORTA,HORTÍCOLES,Venda directa,Venda circuit curt,,,
SLORT,VP/P/3030/2018,X,,B67126755,C DE LA MURTRA 1,8840,VILADECANS,BAIX LLOBREGAT,ENCIAM,HORTÍCOLES,,Venda circuit curt,689879619,info.slort@gmail.com,
SMART RURAL LAB SL,VP/P/2091/2016,X,,B65166951,Cami Vell de Musser (Mig Vi),25726,LLES DE CERDANYA,CERDANYA,"ESPECIES AROMÀTIQUES HERBÀCIES, HORTA, MADUIXA","ALTRES PRODUCTES, HORTÍCOLES",Venda directa,,629393920,angel.illa@ingesco.com,
"SODA, SA",VP/P/3400/2020,X,,A58916800,Lloc MAS ESTELA,17489,SELVA DE MAR,ALT EMPORDÀ,"Vins, caves i vinagres, RAÏM","NO ADMISSIBLES, VINYA",Venda directa,,685905764,masestela@hotmail.com,
"SOGAS SANCHEZ, JUDIT ÀNGELA",VP/P/2291/2016,,X,,,25600,BALAGUER,LA NOGUERA,"Vins, caves i vinagres, RAÏM VI",VINYA,Venda directa,Venda circuit curt,,,
"SOL DE GAIÀ, SCP",VP/P/0472/2013,X,,J43612571,C MASIA LES TORRES DE SELMA S/n,43714,AIGUAMÚRCIA,ALT CAMP,"Vins, caves i vinagres, RAÏM, Cireres, Horta, Kiwis","ALTRES USOS, FRUITA DOLÇA, HORTÍCOLES, VINYA",Venda directa,Venda circuit curt,977260647,torresselma@yahoo.es,
"SOLÀ BALSELLS, JUDIT",VP/P/3302/2019,,X,,,8281,CASTELLFOLLIT DE RIUBREGÓS,ANOIA,"BLAT TOU, ORDI, OLIVES, PÈSOLS","CEREALS, OLIVERAR, PROTEAGINOSES",Venda directa,Venda circuit curt,,,CA GASPARET
"SOLANS VICO, MARIA ANGELES",VP/P/2410/2016,,X,,,43206,REUS,BAIX CAMP,"Plantes aromàtiques i infusions, ESPECIES AROMÀTIQUES LLENYOSES, HORTA","ALTRES PRODUCTES, HORTÍCOLES",Venda directa,,,,
"SOLDEBRE, SCCL",VP/AP/0013/2013,X,,F43440759,"CAMI DE LA RAVAL DE CRIST, 0",43500,TORTOSA,BAIX EBRE,"Mel, Olis",,Venda directa,,977502184,soldebre@soldebre.es,CAL MIÀ
"SOLDEVILA ORUS, DAVID",VP/P/1307/2013,,X,,,25125,ALGUAIRE,SEGRIÀ,"Mel, FIGUES",FRUITA DOLÇA,Venda directa,,,,PLA DE MOREI
"SOLDEVILLA ALONSO, JORDI",VP/P/3084/2019,,X,,,8758,CERVELLÓ,BAIX LLOBREGAT,CIRERES,FRUITA DOLÇA,Venda directa,Venda circuit curt,,,CELLER SANROMÀ
SOLE & GALLEGO GROUP SCP,VP/P/0620/2013,X,,J64172356,C MASIA MORGADES DEL GRAU,8732,CASTELLVÍ DE LA MARCA,ALT PENEDÈS,"Olis, Conserves vegetals, sucs, melmelades, fruits secs torrats, CIVADA, OLIVES, AMETLLES, PRESSECS, NECTARINES, ALBERCOCS, PERES, CIRERES, PEBROT, MELÓ, ENCIAMS, SÍNDRIA, ALBERGÍNIA, CARBASSÓ, CARABASSA, TOMÀQUET, CODONY","CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR",Venda directa,,658432647,xavi@hortdelacarmeta.com,
"SOLE BALAGUE, JUAN",VP/P/1496/2014,,X,,,8830,SANT BOI DE LLOBREGAT,BAIX LLOBREGAT,"CEBES, CALÇOTS, PORROS I ALLS",HORTÍCOLES,Venda directa,,,,
"SOLÉ CABALLOL, MARC",VP/P/0276/2013,,X,,,25739,ARTESA DE SEGRE,LA NOGUERA,"Altres productes elaborats, Conserves vegetals, sucs, melmelades, fruits secs torrats, ORDI, CIVADA, PATATA, AMETLLES, MELÓ, CEBA, CALÇOT, PORRO I ALL, COL I COLIFLOR, BLEDA, ESPINAC, CARABASSA, HORTA, TOMÀQUET, PÈSOLS , CIGRONS , MONGETA","CEREALS, FRUITS DE CLOSCA, HORTÍCOLES, LLEGUMINOSES, PROTEAGINOSES",Venda directa,Venda circuit curt,,,
"SOLÉ CANTERO, ADRIÀ",VP/P/2687/2017,,X,,,8700,IGUALADA,ANOIA,"Farines, pastes i cereals, Olis, ESPELTA, CIVADA, PATATA, OLIVES, PERES, CIRERES, NOUS, PISTATXER O FESTUC, Carxofa, TOMÀQUET, MADUIXA, MONGETA","CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, LLEGUMINOSES, OLIVERAR",Venda directa,Venda circuit curt,,,MEL DE RINER
